X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,Longref,Latref,Rearth,rot
-1.371907843,-5.042902132,5.036913099,-1.393735797,-96.95103322,32.85575875,0.038512312,-3.588533614,3.588666755,0.022970003,-96.97975505,32.87935457,0.484539006,-3.031837839,3.033907943,0.471403565,-96.99075711,32.88682342,,,,
-1.370450787,-5.041797062,5.03581435,-1.392273969,-96.95105501,32.8557831,0.040791613,-3.586598964,3.586741994,0.025257663,-96.97979323,32.87939267,0.484379955,-3.030735343,3.032804768,0.47124929,-96.99077899,32.88682085,,,,
-1.369068025,-5.040748206,5.034771493,-1.390886676,-96.95107569,32.8558062,0.043117045,-3.584625173,3.584778294,0.027591621,-96.97983217,32.87943155,0.484186578,-3.02962607,3.031694668,0.471060719,-96.99080101,32.88681771,,,,
-1.367742641,-5.039742363,5.033771399,-1.389556949,-96.95109552,32.85582835,0.045482792,-3.582617062,3.582780448,0.029966042,-96.97987179,32.87947109,0.483959246,-3.02852077,3.030588395,0.470838176,-96.99082295,32.886814,,,,
-1.36645772,-5.038766328,5.032800939,-1.388267813,-96.95111477,32.85584982,0.047883037,-3.58057945,3.580753249,0.032375091,-96.979912,32.87951122,0.48369833,-3.027430193,3.029496698,0.470581986,-96.9908446,32.88680973,,,,
-1.365196348,-5.0378069,5.031846983,-1.387002297,-96.95113369,32.8558709,0.050311968,-3.578517154,3.578701493,0.03481293,-96.97995269,32.87955182,0.483404202,-3.026365088,3.028430329,0.470292474,-96.99086575,32.88680491,,,,
-1.363941608,-5.036850875,5.030896401,-1.385743428,-96.95115254,32.85589187,0.052763767,-3.576434994,3.576629971,0.037273724,-96.97999377,32.87959281,0.483077233,-3.025336205,3.02740004,0.469969965,-96.99088618,32.88679954,,,,
-1.362676586,-5.03588505,5.029936063,-1.384474235,-96.95117159,32.85591301,0.055232621,-3.574337788,3.574543478,0.039751638,-96.98003515,32.87963408,0.482717796,-3.024354294,3.026416581,0.469614783,-96.99090568,32.88679362,,,,
-1.361384366,-5.034896222,5.028952842,-1.383177744,-96.95119109,32.8559346,0.057712714,-3.572230356,3.572446807,0.042240835,-96.98007673,32.87967553,0.482326261,-3.023430103,3.025490703,0.469227254,-96.99092404,32.88678717,,,,
-1.360048033,-5.033871189,5.027933606,-1.381836984,-96.9512113,32.85595693,0.060198231,-3.570117516,3.570344752,0.04473548,-96.98011842,32.87971708,0.481902999,-3.022574382,3.024633157,0.468807703,-96.99094105,32.88678018,,,,
-1.358650671,-5.032796747,5.026865226,-1.380434983,-96.95123249,32.85598028,0.062683358,-3.568004088,3.568242106,0.047229736,-96.98016012,32.87975863,0.481448383,-3.021797882,3.023854695,0.468356454,-96.99095649,32.88677267,,,,
-1.357175366,-5.031659694,5.025734574,-1.378954767,-96.95125491,32.85600493,0.065162279,-3.565894888,3.566143663,0.049717769,-96.98020174,32.87980007,0.480962784,-3.02111135,3.023166067,0.467873833,-96.99097015,32.88676463,,,,
-1.355605203,-5.030446827,5.024528518,-1.377379365,-96.95127883,32.85603117,0.067629178,-3.563794738,3.564054216,0.052193741,-96.98024317,32.8798413,0.480446573,-3.020525538,3.022578024,0.467360164,-96.99098181,32.88675607,,,,
-1.353923265,-5.029144943,5.023233931,-1.375691804,-96.9513045,32.85605928,0.070078242,-3.561708455,3.561978559,0.054651818,-96.98028434,32.87988224,0.479900121,-3.020051195,3.022101318,0.466815772,-96.99099126,32.88674701,,,,
-1.352112637,-5.027740839,5.021837681,-1.373875113,-96.9513322,32.85608954,0.072503655,-3.559640858,3.559921486,0.057086162,-96.98032514,32.87992279,0.479323801,-3.019699069,3.0217467,0.466240982,-96.9909983,32.88673743,,,,
-1.350156405,-5.026221311,5.020326641,-1.371912318,-96.95136216,32.85612223,0.074899602,-3.557596765,3.55788779,0.059490939,-96.98036547,32.87996284,0.478717984,-3.019479911,3.02152492,0.465636119,-96.99100269,32.88672736,,,,
-1.348037661,-5.024573164,5.018687686,-1.369786456,-96.95139467,32.85615764,0.077260259,-3.555581004,3.555882271,0.061860305,-96.98040524,32.8800023,0.478083043,-3.019404469,3.02144673,0.465001511,-96.99100425,32.88671679,,,,
-1.345745166,-5.022787636,5.016912103,-1.367486249,-96.95142988,32.85619595,0.079581198,-3.553597259,3.553908597,0.064189814,-96.98044438,32.8800411,65,12561,-12560.60068,119.4011097,63.61198937,34.86764682,,,,
-1.343290464,-5.020873793,5.015008909,-1.365023281,-96.95146762,32.85623697,0.081863445,-3.551644758,3.551965999,0.066480495,-96.98048291,32.88007926,0.804546593,-2.770861318,2.774319823,0.792538441,-96.9959053,32.89217205,,,,
-1.340690784,-5.018845148,5.012991543,-1.36241484,-96.95150763,32.85628041,0.084109404,-3.549721604,3.55005259,0.068734763,-96.98052086,32.8801168,0.806918496,-2.768822236,2.772291034,0.794919153,-96.99594554,32.8922117,,,,
-1.337963356,-5.016715216,5.010873443,-1.359678212,-96.95154964,32.85632599,0.08632148,-3.547825899,3.548166484,0.070955028,-96.98055826,32.88015378,0.809350082,-2.766711586,2.770190934,0.797359857,-96.99598719,32.89225235,,,,
-1.335125406,-5.01449751,5.008668049,-1.356830685,-96.95159338,32.85637342,0.088502076,-3.545955745,3.546305791,0.073143703,-96.98059516,32.88019023,0.811832835,-2.764539257,2.768029379,0.799851996,-96.99603006,32.89229386,,,,
-1.332194164,-5.012205543,5.006388798,-1.353889543,-96.95163858,32.85642241,0.090653597,-3.544109244,3.544468625,0.075303202,-96.9806316,32.8802262,0.814358239,-2.762315142,2.765816222,0.802387008,-96.99607395,32.89233608,,,,
-1.329186859,-5.009852829,5.004049131,-1.350872077,-96.95168498,32.85647266,0.092778448,-3.542284497,3.542653099,0.077435935,-96.9806676,32.88026172,0.816917778,-2.760049131,2.763561318,0.804956337,-96.99611867,32.89237888,,,,
-1.326120719,-5.007452882,5.001662486,-1.347795571,-96.95173231,32.8565239,0.094879031,-3.540479608,3.540857324,0.079544316,-96.98070322,32.88029684,0.819502936,-2.757751115,2.76127452,0.807551424,-96.99616402,32.8924221,,,,
-1.323012973,-5.005019215,4.999242302,-1.344677314,-96.95178031,32.85657584,0.096957752,-3.538692678,3.539079414,0.081630757,-96.98073848,32.88033159,0.822105197,-2.755430985,2.758965681,0.810163709,-96.99620981,32.89246561,,,,
