X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
1.76,-5.84,52.016,52.023,52.081,52.09,39.589
1.84,-5.84,51.984,52.014,52.073,52.079,39.471
1.92,-5.84,51.977,52.005,52.063,52.068,39.352
2,-5.84,51.97,51.996,52.053,52.054,39.232
2.08,-5.84,51.961,51.984,52.04,52.039,39.11
2.16,-5.84,51.95,51.972,52.026,52.022,38.988
2.24,-5.84,51.939,51.958,52.011,52.004,38.866
2.32,-5.84,51.936,51.932,51.994,51.981,38.742
2.4,-5.84,51.944,51.922,51.911,51.957,38.618
2.48,-5.84,51.952,51.926,51.853,51.931,38.493
2.56,-5.84,51.959,51.93,51.842,51.905,38.367
2.64,-5.84,51.967,51.935,51.843,51.85,38.241
2.72,-5.84,51.975,51.939,51.844,51.77,38.115
2.8,-5.84,51.982,51.944,51.845,51.731,37.988
2.88,-5.84,51.99,51.949,51.846,51.725,37.86
2.96,-5.84,51.999,51.954,51.847,51.718,37.732
3.04,-5.84,52.007,51.959,51.849,51.712,37.604
3.12,-5.84,52.015,51.965,51.852,51.707,37.475
3.2,-5.84,52.024,51.97,51.854,51.702,37.346
3.28,-5.84,52.033,51.976,51.857,51.697,37.217
3.36,-5.84,52.041,51.983,51.861,51.694,37.088
3.44,-5.84,52.05,51.989,51.865,51.69,36.958
3.52,-5.84,52.059,51.996,51.869,51.688,36.829
3.6,-5.84,52.056,52.003,51.874,51.686,36.699
3.68,-5.84,52.039,52.01,51.878,51.685,36.569
3.76,-5.84,52.023,52.017,51.884,51.684,36.439
3.84,-5.84,52.006,52.004,51.889,51.684,36.309
3.92,-5.84,51.99,51.985,51.895,51.684,36.179
4,-5.84,51.974,51.967,51.901,51.685,36.049
4.08,-5.84,51.959,51.949,51.884,51.686,35.919
4.16,-5.84,51.944,51.931,51.866,51.688,35.789
4.24,-5.84,51.929,51.914,51.847,51.691,35.659
4.32,-5.84,51.914,51.897,51.829,51.693,35.529
4.4,-5.84,51.9,51.881,51.811,51.696,35.4
4.48,-5.84,51.886,51.865,51.794,51.7,35.27
4.56,-5.84,51.873,51.849,51.777,51.703,35.141
4.64,-5.84,51.86,51.834,51.76,51.684,35.012
4.72,-5.84,51.847,51.819,51.744,51.665,34.883
4.8,-5.84,51.835,51.805,51.729,51.646,34.754
4.88,-5.84,51.824,51.791,51.714,51.627,34.626
4.96,-5.84,51.813,51.778,51.699,51.609,34.498
5.04,-5.84,51.802,51.765,51.685,51.592,34.37
5.12,-5.84,51.792,51.752,51.671,51.575,34.242
5.2,-5.84,51.782,51.741,51.658,51.558,34.115
5.28,-5.84,51.773,51.729,51.646,51.542,33.988
5.36,-5.84,51.764,51.719,51.634,51.527,33.861
5.44,-5.84,51.756,51.709,51.623,51.512,33.735
5.52,-5.84,51.756,51.699,51.612,51.498,33.609
5.6,-5.84,51.761,51.69,51.602,51.484,33.483
5.68,-5.84,51.768,51.681,51.592,51.471,33.358
5.76,-5.84,51.775,51.684,51.583,51.458,33.233
5.84,-5.84,51.782,51.69,51.574,51.446,33.109
5.92,-5.84,51.79,51.697,51.566,51.435,32.985
6,-5.84,51.799,51.704,51.571,51.425,32.861
-6,-5.76,43.621,43.707,43.823,43.983,44.558
-5.92,-5.76,43.749,43.834,43.95,44.11,44.565
-5.84,-5.76,43.877,43.962,44.077,44.237,44.572
-5.76,-5.76,44.006,44.09,44.205,44.363,44.579
-5.68,-5.76,44.135,44.219,44.333,44.491,44.587
-5.6,-5.76,44.264,44.347,44.461,44.618,44.594
-5.52,-5.76,44.394,44.476,44.59,44.745,44.601
-5.44,-5.76,44.523,44.605,44.718,44.873,44.607
-5.36,-5.76,44.653,44.734,44.847,45.001,44.613
-5.28,-5.76,44.783,44.863,44.975,45.129,44.618
-5.2,-5.76,44.913,44.992,45.104,45.257,44.622
-5.12,-5.76,45.043,45.122,45.233,45.385,44.626
-5.04,-5.76,45.173,45.251,45.362,45.513,44.637
-4.96,-5.76,45.303,45.38,45.491,45.641,44.654
-4.88,-5.76,45.433,45.51,45.62,45.769,44.657
-4.8,-5.76,45.563,45.639,45.749,45.896,44.647
-4.72,-5.76,45.694,45.769,45.878,46.024,44.636
-4.64,-5.76,45.824,45.898,46.007,46.152,44.624
-4.56,-5.76,45.954,46.027,46.135,46.28,44.611
-4.48,-5.76,46.084,46.156,46.264,46.407,44.596
-4.4,-5.76,46.214,46.285,46.392,46.534,44.581
-4.32,-5.76,46.343,46.414,46.52,46.661,44.564
-4.24,-5.76,46.473,46.543,46.648,46.788,44.546
